smiles,name,clogp
FC1=C(C=CC(Cl)=C1)C(N1C=CC=N1)C1=CN=CC=C1,MXF001,3.29
FC1=C(C=CC(Cl)=C1)C(N1C=NC=N1)C1=CN=CC=C1,MXF002,2.90
FC1=C(C=CC(Cl)=C1)C(N1CCC(=O)CC1)C1=CN=CC=C1,MXF003,3.13
OC1(C2=CC=CC=C2C2=C1C=CC=C2)C1=CN=CC=C1,MXF004,3.05
CCCC(O)(C1=CC=CC=C1)C1=CN=CC=C1,MXF005,2.71
CCOCCC(O)(C1=CC=CC=C1)C1=CN=CC=C1,MXF006,2.41
CCC(O)(C1=CC=CC=C1)C1=CN=CC=C1,MXF007,2.39
OC1(CCCC2=C1C=CC=C2)C1=CN=CN=C1,MXF008,2.02
OC1(C2=CN=CC=C2)C2=CC=CC=C2CC2=C1C=CC=C2,MXF009,3.21
ClC1=CC(=C(C=C1)C(N1CCN(CC1)C[Si](C)(C)C)C=1C=NC=CC1)F,FIREWALKER,3.92
